Desired Heading,Current Heading,Heading Difference,Movements,left_weightage,right_weightage
104.75,204.17,-99.42,Auto:Turning Left,0.5,0.5
104.75,199.05,-94.30,Auto:Turning Left,0.55,0.50
104.75,189.03,-84.28,Auto:Turning Left,0.60,0.50
104.75,178.54,-73.79,Auto:Turning Left,0.64,0.50
104.75,165.57,-60.82,Auto:Turning Left,0.64,0.55
104.75,141.76,-37.01,Auto:Turning Forward,0.67,0.55
104.75,136.50,-31.75,No Obsticle: Moving straight,0.70,0.55
104.75,128.64,-23.89,Auto:Turning Forward,0.73,0.55
104.75,122.82,-18.07,No Obsticle: Moving straight,0.76,0.55
104.75,120.69,-15.94,Auto:Turning Forward,0.78,0.55
104.75,123.69,-18.94,No Obsticle: Moving straight,0.81,0.55
104.75,120.21,-15.46,Auto:Turning Forward,0.83,0.55
104.69,119.71,-15.02,No Obsticle: Moving straight,0.84,0.55
104.69,124.22,-19.54,Auto:Turning Forward,0.86,0.55
104.69,127.47,-22.78,No Obsticle: Moving straight,0.87,0.55
104.69,130.06,-25.37,Auto:Turning Forward,0.87,0.60
104.69,131.94,-27.26,No Obsticle: Moving straight,0.89,0.60
104.69,131.31,-26.62,Auto:Turning Forward,0.90,0.60
104.69,138.42,-33.74,No Obsticle: Moving straight,0.91,0.60
104.69,142.35,-37.66,Auto:Turning Forward,0.92,0.60
104.69,139.12,-34.44,No Obsticle: Moving straight,,
104.69,138.41,-33.72,Auto:Turning Forward,,
104.69,128.01,-23.32,No Obsticle: Moving straight,,
104.69,125.14,-20.45,Auto:Turning Forward,,
104.69,122.98,-18.29,No Obsticle: Moving straight,,
104.69,120.51,-15.82,Auto:Turning Forward,,
104.69,116.86,-12.17,No Obsticle: Moving straight,,
104.69,20.63,84.06,Auto:Turning Forward,,
104.69,42.34,62.35,No Obsticle: Moving straight,,
104.69,43.51,61.17,Auto:Turning Forward,,
104.69,56.98,47.71,No Obsticle: Moving straight,,
105.08,354.51,110.56,Auto:Turning Forward,,
105.08,357.47,107.60,No Obsticle: Moving straight,,
105.08,10.34,94.73,Auto:Turning Forward,,
105.08,32.99,72.08,No Obsticle: Moving straight,,
105.08,35.60,69.48,Auto:Turning Forward,,
105.08,65.16,39.92,No Obsticle: Moving straight,,
105.08,53.61,51.47,Auto:Turning Forward,,
105.08,71.39,33.69,No Obsticle: Moving straight,,
105.08,66.85,38.22,Auto:Turning Forward,,
105.08,345.94,119.14,No Obsticle: Moving straight,,
105.08,348.35,116.73,Auto:Turning Forward,,
105.08,10.22,94.86,No Obsticle: Moving straight,,
105.08,15.48,89.60,Auto:Turning Forward,,
105.08,28.37,76.71,No Obsticle: Moving straight,,
105.08,18.50,86.58,Auto:Turning Forward,,
105.08,46.03,59.05,No Obsticle: Moving straight,,
105.08,68.22,36.85,Auto:Turning Forward,,
105.08,63.52,41.56,Auto:Stop,,
105.08,102.33,2.74,Auto:Backwards,,
105.08,11.78,93.30,Auto:Turning Left,,
105.08,12.83,92.25,Auto:Turning Forward,,
107.21,20.55,86.67,No Obsticle: Moving straight,,
107.21,42.00,65.22,Auto:Turning Right,,
107.21,52.59,54.62,Auto:Turning Right,,
107.21,50.60,56.62,Auto:Turning Right,,
107.21,55.24,51.98,Auto:Turning Forward,,
107.21,57.04,50.17,Auto:Stop,,
107.21,66.57,40.65,Auto:Backwards,,
107.21,335.02,132.20,Auto:Turning Left,,
107.21,334.05,133.16,Auto:Turning Forward,,
107.21,344.88,122.33,No Obsticle: Moving straight,,
107.21,348.98,118.23,Auto:Turning Right,,
107.21,351.48,115.73,Auto:Turning Right,,
107.21,359.04,108.18,Auto:Turning Right,,
107.21,1.44,105.77,Auto:Turning Right,,
107.21,347.58,119.64,Auto:Turning Right,,
107.21,357.10,110.12,Auto:Turning Forward,,
107.21,12.94,94.28,No Obsticle: Moving straight,,
107.21,28.52,78.70,Auto:Turning Right,,
107.21,38.29,68.93,Auto:Turning Forward,,
107.21,68.86,38.35,No Obsticle: Moving straight,,
107.21,58.42,48.80,Auto:Turning Forward,,
107.90,60.10,47.79,Auto:Stop,,
107.90,332.73,135.16,Auto:Backwards,,
107.90,328.31,139.58,Auto:Turning Left,,
107.90,333.99,133.91,Auto:Turning Forward,,
108.14,332.56,135.58,No Obsticle: Moving straight,,
108.14,337.00,131.15,Auto:Turning Right,,
108.14,335.87,132.27,Auto:Turning Right,,
108.14,335.22,132.93,Auto:Turning Right,,
108.14,340.70,127.44,Auto:Turning Right,,
108.14,339.46,128.68,Auto:Turning Right,,
108.14,348.36,119.78,Auto:Turning Right,,
108.14,349.10,119.04,Auto:Turning Right,,
108.14,351.54,116.60,Auto:Turning Forward,,
108.14,352.88,115.26,No Obsticle: Moving straight,,
108.14,350.95,117.19,Auto:Turning Forward,,
108.14,359.03,109.11,Auto:Stop,,
108.14,0.46,107.68,Auto:Backwards,,
108.14,359.49,108.65,Auto:Turning Right,,
108.14,359.42,108.72,Auto:Turning Forward,,
108.14,352.40,115.74,No Obsticle: Moving straight,,
108.14,357.67,110.47,Auto:Turning Forward,,
108.14,359.54,108.60,Auto:Stop,,
108.14,1.58,106.56,Auto:Backwards,,
108.14,359.43,108.71,Auto:Turning Left,,
108.14,358.88,109.26,Auto:Turning Forward,,
108.87,355.81,113.07,No Obsticle: Moving straight,,
108.87,357.54,111.33,Auto:Turning Right,,
108.87,357.61,111.26,Auto:Turning Right,,
108.87,353.48,115.40,Auto:Turning Right,,
108.87,350.50,118.37,Auto:Turning Right,,
108.87,354.16,114.71,Auto:Turning Right,,
108.87,355.71,113.16,Auto:Turning Right,,
108.87,356.70,112.18,Auto:Turning Right,,
108.87,354.73,114.15,Auto:Turning Right,,
108.87,1.91,106.97,Auto:Turning Forward,,
108.87,349.68,119.20,Auto:Stop,,
108.87,358.15,110.72,Auto:Backwards,,
108.87,13.87,95.01,Auto:Turning Left,,
108.87,358.39,110.49,Auto:Turning Forward,,
108.87,7.03,101.85,No Obsticle: Moving straight,,
108.87,8.98,99.89,Auto:Turning Right,,
108.87,73.17,35.71,Auto:Turning Right,,
108.87,316.04,152.83,Auto:Turning Right,,
108.87,312.43,156.44,Auto:Turning Right,,
108.87,322.08,146.79,Auto:Turning Right,,
108.87,318.50,150.37,Auto:Turning Right,,
109.62,318.74,150.88,Auto:Turning Right,,
109.62,315.20,154.42,Auto:Turning Right,,
109.62,316.82,152.80,Auto:Turning Right,,
109.62,321.20,148.42,Auto:Turning Right,,
109.62,312.76,156.86,Auto:Turning Right,,
109.62,314.68,154.94,Auto:Turning Right,,
109.62,312.99,156.63,Auto:Turning Forward,,
109.62,318.32,151.30,No Obsticle: Moving straight,,
109.62,318.50,151.12,Auto:Turning Forward,,
109.62,311.91,157.71,No Obsticle: Moving straight,,
109.62,309.19,160.43,Auto:Turning Forward,,
109.62,313.50,156.12,Auto:Stop,,
109.62,317.24,152.38,Auto:Backwards,,
109.62,310.94,158.68,Auto:Turning Left,,
109.62,292.76,176.86,Auto:Turning Forward,,
109.62,251.48,-141.87,No Obsticle: Moving straight,,
109.62,322.04,147.57,Auto:Turning Right,,
109.62,323.26,146.36,Auto:Turning Right,,
109.62,193.26,-83.65,Auto:Turning Right,,
109.62,17.23,92.39,Auto:Turning Right,,
109.62,168.49,-58.87,Auto:Turning Right,,
109.75,360.00,109.75,Auto:Turning Right,,
109.75,144.01,-34.26,Auto:Turning Right,,
109.75,318.15,151.60,Auto:Turning Right,,
109.75,306.71,163.04,Auto:Turning Right,,
109.75,309.92,159.83,Auto:Turning Right,,
109.75,323.41,146.34,Auto:Turning Right,,
109.75,317.88,151.87,Auto:Turning Right,,
109.75,314.49,155.26,Auto:Turning Right,,
109.75,323.55,146.20,Auto:Turning Right,,
109.75,327.99,141.76,Auto:Turning Right,,
109.75,327.52,142.23,Auto:Turning Right,,
109.75,318.15,151.60,Auto:Turning Right,,
109.75,318.58,151.17,Auto:Turning Right,,
109.75,323.39,146.36,Auto:Turning Right,,
109.75,326.50,143.25,Auto:Turning Right,,
109.75,320.43,149.32,Auto:Turning Right,,
109.75,315.93,153.82,Auto:Turning Right,,
109.86,317.30,152.57,Auto:Turning Right,,
109.86,326.24,143.63,Auto:Turning Right,,
109.86,315.61,154.26,Auto:Turning Right,,
109.86,306.61,163.26,Auto:Turning Right,,
109.93,311.49,158.43,Auto:Turning Right,,
109.93,310.52,159.40,Auto:Turning Right,,
109.93,340.35,129.57,Auto:Turning Right,,
109.93,304.44,165.48,Auto:Turning Right,,
109.93,268.13,-158.20,Auto:Turning Right,,
109.93,334.00,135.93,Auto:Turning Right,,
109.93,233.74,-123.81,Auto:Turning Right,,
109.93,306.66,163.27,Auto:Turning Right,,
109.93,289.29,-179.36,Auto:Turning Right,,
109.93,332.32,137.60,Auto:Turning Right,,
109.93,252.64,-142.72,Auto:Turning Right,,
109.93,321.12,148.80,Auto:Turning Right,,
109.93,335.33,134.60,Auto:Turning Right,,
109.93,233.34,-123.42,Auto:Turning Right,,
109.93,333.18,136.75,Auto:Turning Forward,,
109.93,201.28,-91.35,Auto:Stop,,
109.93,312.87,157.05,Auto:Backwards,,
110.43,306.40,164.03,Auto:Turning Left,,
110.43,303.04,167.39,Auto:Turning Forward,,
110.43,297.69,172.74,No Obsticle: Moving straight,,
110.43,225.51,-115.08,Auto:Turning Right,,
110.62,334.16,136.45,Auto:Turning Right,,
110.62,255.40,-144.78,Auto:Turning Right,,
110.62,315.37,155.25,Auto:Turning Right,,
110.62,285.45,-174.84,Auto:Turning Right,,
110.62,305.02,165.60,Auto:Turning Right,,
110.62,251.73,-141.12,Auto:Turning Right,,
110.62,313.70,156.92,Auto:Turning Right,,
110.62,301.22,169.40,Auto:Turning Right,,
110.62,313.90,156.72,Auto:Turning Right,,
110.62,302.44,168.17,Auto:Turning Right,,
110.62,236.63,-126.01,Auto:Turning Right,,
110.62,317.45,153.16,Auto:Turning Right,,
110.62,213.46,-102.84,Auto:Turning Right,,
110.62,320.56,150.06,Auto:Turning Right,,
110.62,265.21,-154.60,Auto:Turning Right,,
110.62,293.22,177.40,Auto:Turning Right,,
110.62,222.91,-112.29,Auto:Turning Right,,
110.92,327.55,143.38,Auto:Turning Right,,
110.92,237.82,-126.90,Auto:Turning Left,,
110.92,299.73,171.19,Auto:Turning Right,,
110.92,263.40,-152.47,Auto:Turning Right,,
110.92,338.44,132.49,Auto:Turning Left,,
110.92,316.80,154.12,Auto:Turning Right,,
110.92,24.47,86.45,Auto:Turning Left,,
110.92,59.12,51.80,Auto:Turning Right,,
110.92,100.56,10.36,Auto:Turning Forward,,
110.92,106.21,4.72,Auto:Stop,,
110.92,109.05,1.87,Auto:Backwards,,
110.92,113.52,-2.59,Auto:Turning Left,,
111.38,122.75,-11.37,Auto:Turning Forward,,
111.38,128.05,-16.67,No Obsticle: Moving straight,,
111.38,126.59,-15.22,Auto:Turning Right,,
111.38,130.62,-19.24,Auto:Turning Right,,
111.38,111.55,-0.18,Auto:Turning Right,,
111.38,112.49,-1.12,Auto:Turning Right,,
111.38,104.37,7.01,Auto:Turning Right,,
111.38,88.34,23.04,Auto:Turning Right,,
111.38,54.17,57.20,Auto:Turning Right,,
111.38,64.95,46.42,Auto:Turning Right,,
111.38,55.44,55.93,Auto:Turning Right,,
111.38,73.63,37.75,Auto:Turning Right,,
111.38,62.83,48.54,Auto:Turning Right,,
111.38,50.25,61.13,Auto:Turning Right,,
111.38,76.58,34.80,Auto:Turning Right,,
111.87,76.53,35.33,Auto:Turning Right,,
111.87,83.81,28.06,Auto:Turning Right,,
111.87,84.77,27.09,Auto:Turning Right,,
111.87,92.30,19.57,Auto:Turning Right,,
111.87,104.43,7.44,Auto:Turning Right,,
111.87,117.94,-6.07,Auto:Turning Right,,
111.87,128.33,-16.46,Auto:Turning Right,,
112.21,125.02,-12.82,Auto:Turning Right,,
112.21,130.06,-17.85,Auto:Turning Right,,
112.21,131.53,-19.32,Auto:Turning Right,,
112.21,132.52,-20.31,Auto:Turning Left,,
112.21,125.20,-12.99,Auto:Turning Right,,
112.21,133.39,-21.18,Auto:Turning Left,,
112.21,128.95,-16.74,Auto:Turning Right,,
112.21,137.56,-25.35,Auto:Turning Left,,
112.21,135.84,-23.64,Auto:Turning Right,,
112.21,142.68,-30.47,Auto:Turning Left,,
112.21,137.03,-24.82,Auto:Turning Right,,
112.21,128.26,-16.05,Auto:Turning Right,,
112.21,128.34,-16.13,Auto:Turning Left,,
112.21,127.64,-15.43,Auto:Turning Right,,
112.21,135.03,-22.82,Auto:Turning Left,,
112.21,141.54,-29.33,Auto:Turning Right,,
112.21,145.13,-32.93,Auto:Turning Right,,
112.11,144.17,-32.05,Auto:Turning Right,,
112.11,154.21,-42.10,Auto:Turning Right,,
112.11,145.99,-33.88,Auto:Turning Left,,
112.11,156.41,-44.30,Auto:Turning Right,,
112.11,152.81,-40.69,Auto:Turning Left,,
112.11,151.76,-39.65,Auto:Turning Right,,
112.11,152.49,-40.38,Auto:Turning Left,,
112.52,137.21,-24.69,Auto:Turning Right,,
112.52,144.51,-31.99,Auto:Turning Left,,
112.52,142.72,-30.21,Auto:Turning Right,,
112.52,145.11,-32.60,Auto:Turning Right,,
112.52,139.17,-26.66,Auto:Turning Right,,
112.52,147.51,-35.00,Auto:Turning Right,,
112.52,154.94,-42.42,Auto:Turning Left,,
112.52,151.81,-39.29,Auto:Turning Right,,
112.52,147.88,-35.36,Auto:Turning Left,,
112.52,136.61,-24.10,Auto:Turning Right,,
112.52,131.93,-19.42,Auto:Turning Left,,
112.52,119.59,-7.08,Auto:Turning Right,,
112.52,119.83,-7.32,Auto:Turning Left,,
112.52,120.85,-8.33,Auto:Turning Right,,
112.52,121.83,-9.31,Auto:Turning Left,,
112.52,124.16,-11.64,Auto:Turning Right,,
112.52,131.58,-19.06,Auto:Turning Left,,
112.64,127.68,-15.04,Auto:Turning Right,,
112.64,124.29,-11.65,Auto:Turning Right,,
112.64,106.30,6.34,Auto:Turning Right,,
112.64,95.16,17.47,Auto:Turning Right,,
112.64,92.93,19.71,Auto:Turning Forward,,
112.64,93.16,19.48,No Obsticle: Moving straight,,
112.64,85.19,27.45,Auto:Turning Forward,,
112.64,70.52,42.12,No Obsticle: Moving straight,,
112.64,65.94,46.70,Auto:Turning Forward,,
112.64,66.34,46.30,No Obsticle: Moving straight,,
112.64,76.69,35.95,Auto:Turning Forward,,
113.05,80.25,32.79,No Obsticle: Moving straight,,
113.05,92.00,21.05,Auto:Turning Forward,,
113.05,102.35,10.69,No Obsticle: Moving straight,,
113.05,105.92,7.13,Auto:Turning Forward,,
113.05,107.98,5.07,No Obsticle: Moving straight,,
113.05,105.91,7.14,Auto:Turning Forward,,
113.05,93.53,19.52,No Obsticle: Moving straight,,
113.05,86.87,26.18,Auto:Turning Forward,,
113.05,82.82,30.23,No Obsticle: Moving straight,,
113.05,83.24,29.80,Auto:Turning Forward,,
113.05,92.10,20.95,No Obsticle: Moving straight,,
113.40,100.09,13.31,Auto:Turning Forward,,
113.40,110.44,2.97,No Obsticle: Moving straight,,
113.40,120.15,-6.75,Auto:Turning Forward,,
113.40,122.29,-8.89,No Obsticle: Moving straight,,
113.40,123.90,-10.50,Auto:Turning Forward,,
113.40,123.90,-10.50,No Obsticle: Moving straight,,
113.40,121.34,-7.93,Auto:Turning Right,,
113.65,123.91,-10.26,Auto:Turning Forward,,
113.65,127.56,-13.91,Forward Right tilt,,
113.65,130.45,-16.80,Auto:Turning Right,,
113.65,138.67,-25.02,Auto:Turning Forward,,
113.65,146.79,-33.14,Forward Right tilt,,
